"feature","variable","level","estimate","std.error","p.value","q.value","method"
"aac.3..IId","RCIU","Yes",0.107941375248224,0.00267574430520174,0,0,"CPLM"
"aac.3..IId","BIL_INC_ATB","Yes",-0.0553065749357276,0.00384778979554953,7.57918080981088e-47,4.61572111317482e-44,"CPLM"
"aac.3..IId","HTA_PRE_ECLAM","Yes",-0.172956127388992,0.0124602547010277,8.30164802378712e-44,3.37046909765757e-41,"CPLM"
"aac.3..IId","DIABET_GESTA","Yes",-0.057261093812583,0.00646950996859755,8.68033318062787e-19,2.64316145350119e-16,"CPLM"
"aac.3..IId","OUT_GROUP","D",0.0537811169011014,0.00691162504699499,7.18085908697678e-15,1.74925727358754e-12,"CPLM"
"aac.6...Ib.cr","CERCLAGE","Yes",0.0437520204063138,0.00586118268490861,8.34842010834981e-14,1.69472928199501e-11,"CPLM"
"blaDHA.1","HTA_PRE_ECLAM","Yes",0.026326921932251,0.00383934969937206,7.02574455405974e-12,1.22247955240639e-09,"CPLM"
"aac.3..IId","OUT_GROUP","C",-0.0443738721813757,0.00687107961686457,1.06050867268791e-10,1.61462445416735e-08,"CPLM"
"blaMAL.1","HTA_PRE_ECLAM","Yes",0.149078959504584,0.0240218090943706,5.4355757391631e-10,7.3561458336674e-08,"CPLM"
"cfxA2","IMC","IMC",0.0183942464850332,0.00310312985723381,3.07313392700068e-09,3.60520682161131e-07,"CPLM"
"mdt.A.","HTA_PRE_ECLAM","Yes",-0.0967859982303684,0.0163541113903848,3.25593391114322e-09,3.60520682161131e-07,"CPLM"
"cfxA","CERCLAGE","Yes",0.168603153794994,0.0306040851064282,3.60526501430166e-08,3.65934398951619e-06,"CPLM"
"tet.M.","IMC","IMC",0.0573021515508715,0.0105383934621501,5.40437910501852e-08,5.06348749993274e-06,"CPLM"
"cfxA3","CERCLAGE","Yes",0.245266452152166,0.0500565690713512,9.59413335777649e-07,8.34689602126554e-05,"CPLM"
"blaTEM.116","OUT_GROUP","D",0.0476791055944697,0.010024635143927,1.97277280494224e-06,0.000133490959801092,"CPLM"
"cfxA3","PAT_AGE","PAT_AGE",-0.0545540226344056,0.0114107085885387,1.74469104714442e-06,0.000133490959801092,"CPLM"
"qnrB19","CERCLAGE","Yes",0.0111445414293312,0.00234196047799943,1.94903906674769e-06,0.000133490959801092,"CPLM"
"tet.L.","CERCLAGE","Yes",0.19472353988758,0.0409327860512739,1.96342026708691e-06,0.000133490959801092,"CPLM"
"fosB","RCIU","Yes",0.10171036127469,0.0215912450787976,2.46840300595098e-06,0.000158237624276226,"CPLM"
"lsa.C.","IMC","IMC",0.065684417092681,0.0147789329084626,8.81117638359651e-06,0.000536600641761028,"CPLM"
"blaSHV.101","IMC","IMC",0.00214569781934292,0.00049241227296841,1.31542661456351e-05,0.000762947436446837,"CPLM"
"aac.6...Ib.cr","DIABET_GESTA","Yes",-0.0129340498786859,0.00301732752222147,1.81435660365608e-05,0.000808700114575894,"CPLM"
"aph.3....Ib","IMC","IMC",0.0476753955826779,0.0111121202628453,1.78354849926248e-05,0.000808700114575894,"CPLM"
"erm.A.","IMC","IMC",0.0604118581507809,0.0140603720586633,1.73434211037591e-05,0.000808700114575894,"CPLM"
"erm.A.","CERCLAGE","Yes",0.256481097297686,0.0595250266883578,1.64146925551174e-05,0.000808700114575894,"CPLM"
"erm.T.","HTA_PRE_ECLAM","Yes",-0.0365788408166422,0.00854411007933387,1.85908072316297e-05,0.000808700114575894,"CPLM"
"tet.Q.","PAT_AGE","PAT_AGE",-0.0409273751323726,0.00953639107846389,1.77306584478123e-05,0.000808700114575894,"CPLM"
"tet.Q.","CERCLAGE","Yes",0.180570463707702,0.0418616724763023,1.60687717008241e-05,0.000808700114575894,"CPLM"
"blaOXA.1","OUT_GROUP","D",0.023103266960146,0.00546018264511488,2.32420962905594e-05,0.00094362910939671,"CPLM"
"erm.F.","CERCLAGE","Yes",0.202227803980047,0.0477432446578075,2.27803793942766e-05,0.00094362910939671,"CPLM"
"aac.6...aph.2...","PAT_AGE","PAT_AGE",-0.0243062273552529,0.00584324419149493,3.18645703431912e-05,0.00125196924767764,"CPLM"
"dfrA17","BIL_INC_ATB","Yes",0.0370681556817605,0.00894986802800636,3.44659233561738e-05,0.00131185920774436,"CPLM"
"blaOXA.23","RCIU","Yes",0.00827438052710627,0.00201621257822157,4.06203271037068e-05,0.00149925934582772,"CPLM"
"NarA","RCIU","Yes",0.0108722810054891,0.00268490664081531,5.1347474749246e-05,0.00178689212127376,"CPLM"
"catP","CERCLAGE","Yes",0.015069359747978,0.00371756802404776,5.04455220405584e-05,0.00178689212127376,"CPLM"
"cfxA2","OUT_GROUP","D",-0.0302641669644478,0.00751868338195919,5.69281151494867e-05,0.00192606789589097,"CPLM"
"blaTEM.116","BIL_INC_ATB","Yes",-0.0326263271944967,0.00812701966860425,5.95593055311475e-05,0.00196062794964696,"CPLM"
"aadA5","BIL_INC_ATB","Yes",0.0359493239102269,0.00899719137147408,6.45261883381312e-05,0.00206823414199589,"CPLM"
"tet.32.","PAT_AGE","PAT_AGE",-0.0243022803971271,0.00609316356798934,6.65063168854352e-05,0.00207704343503744,"CPLM"
"aac.6...aph.2...","HTA_PRE_ECLAM","Yes",0.154260623348683,0.0389520393040086,7.48648220984711e-05,0.00227963383289844,"CPLM"
"aph.6..Id","IMC","IMC",0.0517203154760689,0.0131477167722803,8.36179376857861e-05,0.00248406458783628,"CPLM"
"cfxA2","DIABET_GESTA","Yes",-0.0269998363444698,0.00689416425039747,8.99064011630553e-05,0.0026072856337286,"CPLM"
"aac.6...aph.2...","OUT_GROUP","B",0.0633879589658567,0.0166101502335836,0.000135512634427963,0.00383847415658741,"CPLM"
"aac.6...Ib.cr","PAT_AGE","PAT_AGE",-0.0042878530496651,0.00113583540994002,0.000159965636679,0.00442813966988686,"CPLM"
"qnrD1","BIL_INC_ATB","Yes",-0.00421369947626859,0.00112915422688501,0.000190168751705065,0.00514723421281709,"CPLM"
"aac.6...Ib.cr","HTA_PRE_ECLAM","Yes",0.029648773917481,0.00805037621287117,0.000230590760270515,0.00597573502147845,"CPLM"
"tet.Q.","OUT_GROUP","D",0.0983594787246248,0.0266981869550198,0.000229488909799072,0.00597573502147845,"CPLM"
"fosA6","IMC","IMC",0.00613494407526776,0.00170758688345367,0.000327198167936216,0.00816300146661312,"CPLM"
"tet.D.","RCIU","Yes",-0.038089837308187,0.0106046531742616,0.000328396610725815,0.00816300146661312,"CPLM"
"tet.J.","HTA_PRE_ECLAM","Yes",0.0329072150498566,0.00934196813171161,0.000427474201219183,0.0104132715416993,"CPLM"
"OqxB","IMC","IMC",0.0267080547246446,0.00763228951685138,0.000466393385984879,0.0111145902269858,"CPLM"
"aph.3....Ib","OUT_GROUP","D",0.101819918567182,0.0291351480019353,0.000474514525290033,0.0111145902269858,"CPLM"
"aac.6...Iaa","PAT_AGE","PAT_AGE",-0.00469314372249169,0.0013463432057409,0.000490585184562277,0.0112742029206953,"CPLM"
"tet.M.","OUT_GROUP","C",0.0935361749385312,0.027068325789351,0.000549154636339139,0.0123864879085384,"CPLM"
"aac.6...aph.2...","DIABET_GESTA","Yes",0.0517488402485886,0.0151833908021022,0.000653801982732073,0.0144787420903212,"CPLM"
"blaTEM.1B","IMC","IMC",0.031349123618536,0.00921646947549066,0.000670356816061039,0.0145802607493276,"CPLM"
"tet.A.","IMC","IMC",0.0313410077299874,0.00928586025132002,0.000737801878695068,0.0155125056793937,"CPLM"
"tet.Q.","IMC","IMC",0.0346993704636319,0.0102819010826519,0.000738690746637798,0.0155125056793937,"CPLM"
"qnrD1","RCIU","Yes",-0.0070701500103378,0.00210404569794228,0.000778678921526443,0.0160751004477832,"CPLM"
"cfxA","IMC","IMC",0.0235556621516732,0.00702173940850623,0.000794579290033168,0.0161299595876733,"CPLM"
"blaCKO.1","CERCLAGE","Yes",0.0316851784223952,0.00949090278773978,0.000842384365836053,0.0168200681571855,"CPLM"
"blaOXA.1","OUT_GROUP","C",0.017262271217883,0.00519287019429339,0.000886644895176324,0.01741828197298,"CPLM"
"aac.6...Iaa","DIABET_GESTA","Yes",0.0116969945464451,0.00354339932185312,0.000963182684923287,0.0184441186168317,"CPLM"
"sul2","OUT_GROUP","D",0.0821726197279941,0.0249058286565594,0.000969149089882781,0.0184441186168317,"CPLM"
"tet.D.","HTA_PRE_ECLAM","Yes",0.0592737915106582,0.0181144970745685,0.00106723764676816,0.0199983915963635,"CPLM"
"catA2","HTA_PRE_ECLAM","Yes",0.0706124500857468,0.0217080857828002,0.00114266698035474,0.021018803452272,"CPLM"
"lsa.A.","OUT_GROUP","C",0.118608446165988,0.0365008700934836,0.0011562067580478,0.021018803452272,"CPLM"
"erm.B.","OUT_GROUP","C",0.127045033197882,0.0392083888362866,0.00119424395772373,0.0213910167721691,"CPLM"
"msr.A.","RCIU","Yes",0.069033252530503,0.0216138797776861,0.00140349391451175,0.0247747186648597,"CPLM"
"fosA","IMC","IMC",0.0235683441402337,0.00743434034592599,0.00152334160386592,0.0259055629720348,"CPLM"
"lsa.C.","PAT_AGE","PAT_AGE",-0.0437180525676542,0.0138104153075773,0.0015477108684438,0.0259055629720348,"CPLM"
"sul2","IMC","IMC",0.0307268650294485,0.00970936721862497,0.00155263226351276,0.0259055629720348,"CPLM"
"tet.O.W.","CERCLAGE","Yes",0.0428337693393815,0.0134944691253723,0.00150264491133452,0.0259055629720348,"CPLM"
"lsa.C.","OUT_GROUP","C",0.118807981301692,0.0375952875375289,0.00157670178337801,0.0259516590831678,"CPLM"
"aph.3...III","OUT_GROUP","C",0.101450394544233,0.0322389572741114,0.00165053054004544,0.0268046159703379,"CPLM"
"blaZ","OUT_GROUP","C",0.0655741816298286,0.0208917162740168,0.00169661622105582,0.027190507332184,"CPLM"
"aac.6...Iaa","IMC","IMC",0.00445341851768615,0.00142426564143141,0.00176709674111381,0.0279522575412547,"CPLM"
"erm.F.","IMC","IMC",0.0346594638947038,0.0111015829210884,0.00179609241504717,0.0280466738657366,"CPLM"
