"","feature","variable","level","estimate","std.error","p.value","q.value","method"
"87","Tn916.orf13","PAT_AGE","PAT_AGE",-0.0698221761552733,0.0413082285180311,0.0909757713479139,0.303252571159713,"CPLM"
"88","Xis.Tn916","PAT_AGE","PAT_AGE",-0.0688647376448868,0.0413082240692464,0.0954954977281278,0.314701072058603,"CPLM"
"89","Tn916.orf16","PAT_AGE","PAT_AGE",-0.0718894488482097,0.0433541285104712,0.0972788130858614,0.316975907807863,"CPLM"
"90","Tn916.orf20","PAT_AGE","PAT_AGE",-0.0699933600729695,0.0425447669110687,0.0999348266597199,0.322012219236875,"CPLM"
"91","Tn916.orf6","PAT_AGE","PAT_AGE",-0.0653162845951297,0.0401584766565653,0.103851154943659,0.327356901452838,"CPLM"
"92","tnpA","BIL_INC_ATB","Yes",0.142402026342548,0.0873085826619501,0.102886143337052,0.327356901452838,"CPLM"
"93","rep20","OUT_GROUP","C",0.920816666273147,0.568005381994515,0.104987458060264,0.327380245564263,"CPLM"
"94","Tn916.orf19","PAT_AGE","PAT_AGE",-0.066695234476535,0.0416276286995785,0.109114322684944,0.336629293389719,"CPLM"
"95","IS621","IMC","IMC",0.203230572930409,0.131539603901555,0.122342797341807,0.347167309451206,"CPLM"
"96","IS91","OUT_GROUP","C",0.354065684645433,0.228705891609788,0.121591808129617,0.347167309451206,"CPLM"
"97","IS91","OUT_GROUP","D",0.364521618428743,0.232187610774339,0.116428067805506,0.347167309451206,"CPLM"
"98","Int.Tn916","PAT_AGE","PAT_AGE",-0.0662210404745744,0.0428740519210121,0.122455579703854,0.347167309451206,"CPLM"
"99","Tn916.orf18","PAT_AGE","PAT_AGE",-0.0662793561788809,0.0425925201758501,0.119677976520243,0.347167309451206,"CPLM"
"100","Tn916.orf19","OUT_GROUP","C",0.169274059214167,0.107525147102099,0.11542408399656,0.347167309451206,"CPLM"
"101","Tn916.orf20","OUT_GROUP","C",0.172436714381185,0.109306577074836,0.114668766589355,0.347167309451206,"CPLM"
"102","Tn916.orf9","CERCLAGE","Yes",0.251842808032328,0.163422706685752,0.123304251287842,0.347167309451206,"CPLM"
"103","rep20","RCIU","Yes",1.08719325795089,0.702260034062303,0.121589824319989,0.347167309451206,"CPLM"
"104","Tn916.orf9","OUT_GROUP","B",-0.197154020175925,0.129648828358297,0.12834085744758,0.357873544805753,"CPLM"
"105","Int.Tn916","OUT_GROUP","C",0.16352896052206,0.108959712692454,0.133402018575579,0.365486875041758,"CPLM"
"106","Tn916.orf7","OUT_GROUP","C",0.15800723180839,0.105387640358988,0.133796947781473,0.365486875041758,"CPLM"
"107","tnpA","OUT_GROUP","C",0.157521455754441,0.10568890585332,0.136112353463827,0.365486875041758,"CPLM"
"108","tnpA4","OUT_GROUP","B",0.706736492240122,0.473402813024894,0.135466997064143,0.365486875041758,"CPLM"
"109","IncFIB.AP001918.","CERCLAGE","Yes",0.792476390869478,0.550737150035327,0.150168204227094,0.399530084640892,"CPLM"
