feature;variable;level;estimate;std.error;p.value;q.value;method
tnpA1.IS1068;OUT_GROUP;C;0.0025029;0.001703259;0.14170346;0.422347448;CPLM
tnpAIS1;DIABET_GESTA;Yes;-0.166929973;0.112809212;0.138938696;0.422347448;CPLM
ISBf10;OUT_GROUP;D;0.025047996;0.017979586;0.163578894;0.470337274;CPLM
ISBf10;RCIU;Yes;-0.036066321;0.025965271;0.164826203;0.470337274;CPLM
insertion_element_IS91;OUT_GROUP;D;0.304268763;0.221039735;0.168656295;0.470337274;CPLM
tnpA2.ISLL6;PAT_AGE;PAT_AGE;0.00077667;0.000562551;0.167395357;0.470337274;CPLM
qacEdelta;BIL_INC_ATB;Yes;1.134573589;0.829090866;0.17116968;0.470716621;CPLM
tnpA1.IS1068;BIL_INC_ATB;Yes;0.001787367;0.001368886;0.191651331;0.519821417;CPLM
Xis.Tn916;PAT_AGE;PAT_AGE;-0.053566729;0.041341671;0.195076141;0.521960485;CPLM
IncFIB.AP001918.;CERCLAGE;Yes;0.612856423;0.500804227;0.221048623;0.583568366;CPLM
Tn916;BIL_INC_ATB;Yes;0.09952307;0.082479871;0.227572882;0.585480926;CPLM
istA2;OUT_GROUP;D;1.329927158;1.102449469;0.227687027;0.585480926;CPLM
IncFIB.AP001918.;RCIU;Yes;-0.824809511;0.697040644;0.236689525;0.593221847;CPLM
plasmid;HTA_PRE_ECLAM;Yes;0.175894469;0.148525063;0.236304356;0.593221847;CPLM
IS621;OUT_GROUP;B;0.464242366;0.413138906;0.261142189;0.631747748;CPLM
IS621;HTA_PRE_ECLAM;Yes;0.552652668;0.492323359;0.261632906;0.631747748;CPLM
IncFIB.Mar.;HTA_PRE_ECLAM;Yes;-0.01096146;0.009684582;0.257699027;0.631747748;CPLM
integrase;HTA_PRE_ECLAM;Yes;0.14815011;0.134121445;0.269334366;0.642508487;CPLM
insertion_element_IS91;PAT_AGE;PAT_AGE;0.078388909;0.071987412;0.276186861;0.647022252;CPLM
istA;CERCLAGE;Yes;1.151220743;1.060680651;0.277762078;0.647022252;CPLM
tniA;OUT_GROUP;D;1.481919177;1.409068754;0.2929367;0.666683524;CPLM
tnpAIS1;OUT_GROUP;B;0.129320752;0.122926841;0.292793147;0.666683524;CPLM
tniA;CERCLAGE;Yes;1.537684734;1.485915012;0.3007435;0.671104421;CPLM
tnpAIS1;PAT_AGE;PAT_AGE;0.045835806;0.044376515;0.301658048;0.671104421;CPLM
integrase;OUT_GROUP;B;-0.07008866;0.070115176;0.317493558;0.698485828;CPLM
tnpA2.ISLL6;OUT_GROUP;D;-0.001524296;0.001559419;0.328332993;0.714394864;CPLM
Tn916;OUT_GROUP;B;-0.10869763;0.114835355;0.343867132;0.738729701;CPLM
tniB;IMC;IMC;0.660164961;0.701955917;0.346979102;0.738729701;CPLM
ISBf10;OUT_GROUP;B;0.015893982;0.017676839;0.368577198;0.766105254;CPLM
ISBf10;BIL_INC_ATB;Yes;0.0124196;0.013963354;0.373765342;0.766105254;CPLM
istA2;DIABET_GESTA;Yes;-1.165255338;1.314351333;0.37531419;0.766105254;CPLM
tniA;IMC;IMC;0.399059752;0.446410579;0.371359413;0.766105254;CPLM
IS621;PAT_AGE;PAT_AGE;0.090151896;0.10539454;0.392343362;0.784415521;CPLM
Xis.Tn916;Type;SN;-0.073626056;0.086773832;0.396169455;0.784415521;CPLM
tniA;PAT_AGE;PAT_AGE;0.385626312;0.45326385;0.39489342;0.784415521;CPLM
IncFIB.AP001918.;PAT_AGE;PAT_AGE;0.106978357;0.129095075;0.407286163;0.790614317;CPLM
tniA;OUT_GROUP;C;1.193764225;1.431625323;0.404364158;0.790614317;CPLM
tnpA2.ISLL6;IMC;IMC;0.000475597;0.000579746;0.41201455;0.79202797;CPLM
Tn916;HTA_PRE_ECLAM;Yes;0.146610943;0.184605788;0.427088384;0.797768868;CPLM
istA;RCIU;Yes;-1.456166172;1.822470778;0.424286588;0.797768868;CPLM
tnpAIS1;OUT_GROUP;C;0.096208872;0.120775865;0.425689064;0.797768868;CPLM
transposase;OUT_GROUP;B;-0.043684726;0.056230747;0.437227651;0.809075467;CPLM
qacEdelta;IMC;IMC;0.285104072;0.386938231;0.461231435;0.845590964;CPLM
Xis.Tn916;HTA_PRE_ECLAM;Yes;0.14789599;0.210382636;0.482064644;0.845977102;CPLM
plasmid;DIABET_GESTA;Yes;-0.047064907;0.066212745;0.477199872;0.845977102;CPLM
qacEdelta;OUT_GROUP;C;0.69902928;0.982244135;0.476671926;0.845977102;CPLM
qacEdelta;DIABET_GESTA;Yes;-0.82057571;1.180745263;0.487077725;0.845977102;CPLM
tniA;DIABET_GESTA;Yes;-1.014848012;1.448448849;0.483524774;0.845977102;CPLM
transposase;HTA_PRE_ECLAM;Yes;0.081610846;0.112469739;0.468068736;0.845977102;CPLM
tniB;RCIU;Yes;1.404002024;2.109325634;0.505656233;0.870608124;CPLM
Xis.Tn916;BIL_INC_ATB;Yes;0.062327882;0.094681885;0.510353542;0.871120701;CPLM
tniB;BIL_INC_ATB;Yes;1.279575895;1.988231936;0.51985122;0.879748219;CPLM
ISBf10;OUT_GROUP;C;0.010673896;0.017255394;0.536191022;0.886205583;CPLM
istA;OUT_GROUP;C;-0.561811867;0.930620698;0.546045864;0.886205583;CPLM
