feature;variable;level;estimate;std.error;p.value;q.value;method
Tn916.orf6;CST;III;0.455604524;0.051483561;8.79E-19;2.43E-16;CPLM
Tn916.orf8;CST;III;0.438480017;0.051167465;1.04E-17;1.43E-15;CPLM
Tn916.orf6;CST;IV;0.443526837;0.05556597;1.44E-15;1.32E-13;CPLM
Tn916.orf17;CST;III;0.380435318;0.048197233;2.94E-15;2.03E-13;CPLM
Tn916.orf18;CST;III;0.359828311;0.047218661;2.53E-14;1.40E-12;CPLM
Tn916.orf9;CST;III;0.344267205;0.04626914;1.00E-13;4.61E-12;CPLM
Tn916.orf7;CST;III;0.342263982;0.04621982;1.31E-13;5.17E-12;CPLM
Tn916.orf19;CST;III;0.42048144;0.05803701;4.32E-13;1.49E-11;CPLM
Tn916.orf14;CST;III;0.31472145;0.044885314;2.35E-12;7.15E-11;CPLM
Tn916.orf8;CST;IV;0.392573161;0.056094972;2.59E-12;7.15E-11;CPLM
Xis.Tn916;CST;III;0.534285724;0.077790664;6.50E-12;1.63E-10;CPLM
Tn916.orf20;CST;III;0.296256391;0.044048913;1.75E-11;4.02E-10;CPLM
Tn916.orf5;CST;III;0.36913729;0.0554634;2.82E-11;5.99E-10;CPLM
Tn916.orf13;CST;III;0.283331847;0.042703426;3.25E-11;6.40E-10;CPLM
Tn916.orf13;CST;IV;0.290539724;0.045254073;1.36E-10;2.50E-09;CPLM
Tn916.orf9;CST;IV;0.320399609;0.050282834;1.87E-10;3.22E-09;CPLM
Tn916.orf7;CST;IV;0.307708559;0.050033211;7.74E-10;1.26E-08;CPLM
Int.Tn916;CST;III;0.260729538;0.042692693;1.01E-09;1.56E-08;CPLM
Tn916.orf15;CST;III;0.250590929;0.04128138;1.28E-09;1.85E-08;CPLM
Tn916.orf17;CST;IV;0.319803563;0.053543112;2.33E-09;3.22E-08;CPLM
Tn916.orf18;CST;IV;0.29559705;0.052243697;1.53E-08;2.01E-07;CPLM
Tn916.orf16;CST;III;0.226610492;0.040109116;1.61E-08;2.01E-07;CPLM
Tn916.orf19;CST;IV;0.35371303;0.064467403;4.10E-08;4.91E-07;CPLM
Xis.Tn916;CST;IV;0.468089818;0.085994335;5.23E-08;6.02E-07;CPLM
Tn916.orf14;CST;IV;0.257423617;0.04907879;1.56E-07;1.72E-06;CPLM
Tn916.orf5;CST;IV;0.319544267;0.061424294;1.97E-07;2.09E-06;CPLM
Tn916.orf20;CST;IV;0.23866802;0.048362212;8.01E-07;8.19E-06;CPLM
Int.Tn916;CST;IV;0.219657444;0.046241013;2.03E-06;2.00E-05;CPLM
Tn916.orf8;CST;II;0.403669617;0.089007372;5.75E-06;5.48E-05;CPLM
Tn916.orf15;CST;IV;0.195128967;0.045037334;1.47E-05;0.000132246;CPLM
Tn916.orf6;CST;II;0.395639566;0.091353854;1.49E-05;0.000132246;CPLM
int3;CST;II;1.708959161;0.407962116;2.80E-05;0.000241645;CPLM
Tn916.orf16;CST;IV;0.180210867;0.043404315;3.30E-05;0.000275757;CPLM
tnpAB;CST;IV;1.337796929;0.323324786;3.51E-05;0.000284863;CPLM
