feature;variable;level;estimate;std.error;p.value;q.value;method
lsa.C.;CST;III;1.923763677;0.056322959;1.09E-255;1.00E-253;CPLM
tet.M.;CST;III;1.246214475;0.048493376;1.21E-145;5.57E-144;CPLM
lsa.C.;CST;IV;1.450215201;0.061162137;2.78E-124;8.52E-123;CPLM
tet.Q.;CST;IV;1.133198226;0.071620785;2.19E-56;5.03E-55;CPLM
tet.M.;CST;IV;0.767455466;0.051305949;1.37E-50;2.53E-49;CPLM
msr.D.;CST;IV;0.99986353;0.068171861;1.05E-48;1.61E-47;CPLM
erm.B.;CST;III;2.198712193;0.167521596;2.37E-39;3.11E-38;CPLM
lsa.A.;CST;III;0.861035854;0.077838598;1.92E-28;2.21E-27;CPLM
cfxA3;CST;IV;3.137225012;0.305770768;1.07E-24;1.09E-23;CPLM
mef.A.;CST;IV;3.111367866;0.328120699;2.49E-21;2.29E-20;CPLM
msr.D.;CST;III;0.873723687;0.094543559;2.43E-20;2.03E-19;CPLM
aph.3...III;CST;III;2.094014573;0.248361586;3.42E-17;2.62E-16;CPLM
mef.A.;CST;III;2.948339276;0.365235092;6.89E-16;4.88E-15;CPLM
tet.Q.;CST;III;0.799170558;0.101300417;3.04E-15;2.00E-14;CPLM
blaZ;CST;III;0.575114915;0.073247792;4.11E-15;2.52E-14;CPLM
cfxA3;CST;III;2.634932481;0.362427403;3.59E-13;2.00E-12;CPLM
erm.A.;CST;III;2.056249167;0.28298409;3.69E-13;2.00E-12;CPLM
erm.A.;CST;IV;1.816129034;0.252580654;6.47E-13;3.30E-12;CPLM
erm.F.;CST;IV;2.411464811;0.337481671;8.97E-13;4.34E-12;CPLM
lsa.C.;CST;V;0.685788066;0.102866523;2.61E-11;1.20E-10;CPLM
ant.6..Ia;CST;III;1.976751691;0.298362401;3.46E-11;1.52E-10;CPLM
lsa.C.;CST;II;0.640877308;0.097376702;4.66E-11;1.95E-10;CPLM
tet.32.;CST;IV;4.436191266;0.698978813;2.20E-10;8.80E-10;CPLM
mph.C.;CST;III;2.028659879;0.347599649;5.34E-09;2.05E-08;CPLM
