feature;variable;level;estimate;std.error;p.value;q.value;method
erm.B.;CST;IV;1.13780125;0.207166609;3.97E-08;1.46E-07;CPLM
erm.F.;CST;III;2.232133351;0.409415933;4.98E-08;1.76E-07;CPLM
aph.6..Id;CST;III;1.826116984;0.339762656;7.67E-08;2.61E-07;CPLM
aph.3....Ib;CST;III;1.761577151;0.344340606;3.12E-07;1.03E-06;CPLM
tet.32.;CST;III;3.852867337;0.75639219;3.51E-07;1.11E-06;CPLM
tet.O.;CST;IV;3.164779079;0.627230649;4.52E-07;1.39E-06;CPLM
blaTEM.1B;CST;IV;0.282588098;0.056463227;5.59E-07;1.66E-06;CPLM
sul2;CST;IV;0.397811437;0.081082421;9.28E-07;2.67E-06;CPLM
blaTEM.1B;CST;III;0.366523356;0.07859514;3.11E-06;8.67E-06;CPLM
aph.3...III;CST;IV;1.213789018;0.272081604;8.15E-06;2.21E-05;CPLM
tet.L.;CST;IV;2.443612534;0.555305707;1.08E-05;2.84E-05;CPLM
sul2;CST;III;0.489230153;0.113094821;1.52E-05;3.88E-05;CPLM
mef.A.;CST;II;1.941637077;0.452099219;1.75E-05;4.35E-05;CPLM
msr.D.;CST;II;0.403871273;0.095552005;2.37E-05;5.74E-05;CPLM
aph.3....Ib;CST;IV;1.331209482;0.318042956;2.84E-05;6.71E-05;CPLM
tet.M.;CST;II;0.324355125;0.077880148;3.12E-05;7.17E-05;CPLM
aph.6..Id;CST;IV;1.306911778;0.322427351;5.05E-05;0.000113292;CPLM
lsa.A.;CST;IV;0.248667967;0.065549993;0.000148501;0.000325289;CPLM
tet.L.;CST;III;2.514156884;0.668793284;0.000170428;0.000364636;CPLM
tet.M.;CST;V;0.311366617;0.083063426;0.000177867;0.000371903;CPLM
tet.W.;CST;IV;2.887566443;0.786761896;0.000242369;0.000495511;CPLM
aph.3...III;CST;II;1.195416708;0.331902422;0.000316129;0.000632259;CPLM
tet.O.;CST;III;2.715049974;0.767749802;0.000405661;0.00079406;CPLM
ant.6..Ia;CST;II;1.24159617;0.371612855;0.000834468;0.001599397;CPLM
erm.F.;CST;II;1.451103781;0.495322759;0.003393849;0.006246558;CPLM
erm.F.;CST;V;1.518737242;0.518425429;0.003394869;0.006246558;CPLM
erm.X.;CST;III;2.035890235;0.722089443;0.004810703;0.008678131;CPLM
erm.A.;CST;V;1.127080979;0.407114636;0.005632173;0.009964614;CPLM
tet.W.;CST;III;2.549926322;0.956134563;0.007655181;0.013288239;CPLM
mph.C.;CST;II;1.166262187;0.446438426;0.008991698;0.015319189;CPLM
erm.X.;CST;IV;1.55938602;0.6072031;0.010224418;0.017102662;CPLM
blaZ;CST;II;0.185878449;0.072652843;0.010514084;0.017273138;CPLM
ant.6..Ia;CST;IV;0.857148112;0.346740735;0.013435408;0.02168522;CPLM
aph.3....Ib;CST;II;1.006008131;0.431447413;0.019716211;0.031273989;CPLM
msr.D.;CST;V;0.237052153;0.104595607;0.023428851;0.036533124;CPLM
tet.L.;CST;II;1.624851027;0.757234906;0.03189143;0.048900193;CPLM
erm.X.;CST;II;1.603826114;0.764798112;0.035988428;0.054277629;CPLM
mef.A.;CST;V;1.224564452;0.612413389;0.045546537;0.066512404;CPLM
tet.O.;CST;II;1.736904594;0.865890069;0.044864983;0.066512404;CPLM
tet.W.;CST;II;1.945239799;0.98876073;0.049142714;0.070642652;CPLM
lsa.A.;CST;II;0.164483198;0.088339766;0.062611781;0.088619751;CPLM
aph.6..Id;CST;II;0.828731352;0.464447054;0.074368471;0.103665142;CPLM
tet.Q.;CST;II;0.172211505;0.104605089;0.099701722;0.136903857;CPLM
tet.W.;CST;V;1.750044026;1.072022213;0.102580528;0.13878542;CPLM
mph.C.;CST;IV;0.653945429;0.431891243;0.129989383;0.173319177;CPLM
sul2;CST;II;0.160616613;0.109067166;0.140848275;0.185114876;CPLM
cfxA3;CST;II;0.878548173;0.605177283;0.146579381;0.189933845;CPLM
tet.32.;CST;II;1.600596337;1.138000771;0.15957616;0.203902872;CPLM
blaZ;CST;IV;0.075292519;0.055816923;0.177362924;0.223525877;CPLM
aph.3...III;CST;V;-0.916227242;0.911815432;0.314974627;0.391590077;CPLM
blaTEM.1B;CST;II;0.075154914;0.076551482;0.326219831;0.400162993;CPLM
tet.L.;CST;V;0.908010571;1.017630608;0.372243328;0.450610345;CPLM
erm.B.;CST;II;0.309966894;0.367835821;0.399408951;0.47721589;CPLM
erm.B.;CST;V;0.236924747;0.417462211;0.570350215;0.672720767;CPLM
lsa.A.;CST;V;0.050309381;0.095942431;0.600020866;0.698758477;CPLM
tet.O.;CST;V;0.618250443;1.315838204;0.638460092;0.734229105;CPLM
tet.Q.;CST;V;0.045855275;0.114133508;0.687854237;0.781266541;CPLM
mph.C.;CST;V;0.266505799;0.691747057;0.70004123;0.785412111;CPLM
blaTEM.1B;CST;V;-0.029826574;0.083152807;0.719822565;0.797875615;CPLM
erm.X.;CST;V;-0.351012925;1.587567175;0.825013676;0.903586407;CPLM
erm.A.;CST;II;0.100980466;0.573590097;0.860254758;0.931099268;CPLM
cfxA3;CST;V;-0.124369047;1.001219109;0.901142978;0.964013418;CPLM
blaZ;CST;V;-0.006870974;0.079022238;0.930711355;0.984200513;CPLM
ant.6..Ia;CST;V;-27.08032996;206142.8147;0.999895184;0.999895184;CPLM
aph.3....Ib;CST;V;-0.002404516;0.711644339;0.997304099;0.999895184;CPLM
aph.6..Id;CST;V;-0.019981414;0.722632114;0.9779406;0.999895184;CPLM
sul2;CST;V;-0.000468604;0.117193316;0.996809621;0.999895184;CPLM
tet.32.;CST;V;-17.21664483;7091.679142;0.998062958;0.999895184;CPLM
